day, strategy_name, total, success, fail
2023-03-19,突破平台,265,0,265
2023-03-19,均线多头,93,0,93
2023-03-19,无大幅回撤,13,0,13
2023-03-19,停机坪,6,0,6
2021-10-26,海龟交易法则,134,33,93
2021-10-26,放量上涨,4,1,3
2021-10-26,突破平台,25,10,10
2021-10-26,均线多头,24,6,16
2021-10-26,无大幅回撤,8,4,4
2021-10-26,停机坪,5,0,5
2021-10-18,海龟交易法则,100,14,80
2021-10-18,突破平台,47,11,31
2021-10-18,均线多头,39,12,27
2021-10-18,无大幅回撤,3,1,2
2021-10-18,停机坪,6,3,3
2021-12-21,海龟交易法则,1029,83,891
2021-12-21,放量上涨,10,0,9
2021-12-21,突破平台,61,12,46
2021-12-21,均线多头,214,36,171
2021-12-21,无大幅回撤,21,6,15
2021-12-21,停机坪,25,4,21
2021-12-20,海龟交易法则,589,90,436
2021-12-20,放量上涨,3,1,2
2021-12-20,突破平台,63,17,43
2021-12-20,均线多头,202,37,158
2021-12-20,无大幅回撤,19,2,17
2021-12-20,停机坪,26,5,20
2021-10-31,海龟交易法则,319,0,319
2021-10-31,放量上涨,13,0,13
2021-10-31,突破平台,36,0,36
2021-10-31,均线多头,53,0,53
2021-10-31,无大幅回撤,11,0,11
2021-10-31,停机坪,6,0,6
2021-10-19,海龟交易法则,161,27,125
2021-10-19,放量上涨,10,1,7
2021-10-19,突破平台,47,7,32
2021-10-19,均线多头,33,10,21
2021-10-19,无大幅回撤,5,2,3
2021-10-19,停机坪,6,4,2
2023-03-03,海龟交易法则,662,54,561
2023-03-03,放量上涨,26,4,17
2023-03-03,突破平台,219,15,183
2023-03-03,均线多头,104,13,82
2023-03-03,无大幅回撤,8,0,7
2023-03-03,停机坪,12,1,10
2023-03-17,海龟交易法则,117,0,117
2023-03-17,放量上涨,2,0,2
2023-03-17,突破平台,99,0,99
2023-03-17,均线多头,26,0,26
2023-03-17,无大幅回撤,2,0,2
2023-03-17,停机坪,5,0,5
2023-03-16,海龟交易法则,74,0,74
2023-03-16,放量上涨,5,0,5
2023-03-16,突破平台,103,0,103
2023-03-16,均线多头,24,0,24
2023-03-16,无大幅回撤,1,0,1
2023-03-16,停机坪,6,0,6
2023-03-02,海龟交易法则,1091,164,750
2023-03-02,放量上涨,38,12,25
2023-03-02,突破平台,220,24,183
2023-03-02,均线多头,108,19,82
2023-03-02,无大幅回撤,9,2,6
2023-03-02,停机坪,10,1,9
2021-09-22,海龟交易法则,384,28,348
2021-09-22,放量上涨,14,3,9
2021-09-22,突破平台,58,9,43
2021-09-22,均线多头,200,8,190
2021-09-22,无大幅回撤,37,3,33
2021-09-22,停机坪,20,1,19
2023-03-14,海龟交易法则,212,56,132
2023-03-14,放量上涨,19,2,15
2023-03-14,突破平台,233,47,152
2023-03-14,均线多头,115,26,77
2023-03-14,无大幅回撤,8,4,3
2023-03-14,停机坪,7,1,6
2021-12-13,海龟交易法则,601,131,422
2021-12-13,放量上涨,13,0,13
2021-12-13,突破平台,65,6,56
2021-12-13,均线多头,217,32,174
2021-12-13,无大幅回撤,11,4,7
2021-12-13,停机坪,22,2,20
2023-03-01,海龟交易法则,903,126,646
2023-03-01,放量上涨,31,6,22
2023-03-01,突破平台,197,16,169
2023-03-01,均线多头,108,16,82
2023-03-01,无大幅回撤,9,2,5
2023-03-01,停机坪,11,0,10
2023-03-15,海龟交易法则,342,62,238
2023-03-15,放量上涨,16,3,11
2023-03-15,突破平台,239,54,160
2023-03-15,均线多头,115,24,79
2023-03-15,无大幅回撤,7,2,3
2023-03-15,停机坪,7,1,6
2021-09-23,海龟交易法则,357,26,321
2021-09-23,放量上涨,10,1,7
2021-09-23,突破平台,58,7,44
2021-09-23,均线多头,192,11,177
2021-09-23,无大幅回撤,30,2,28
2021-09-23,停机坪,20,1,19
2021-09-27,海龟交易法则,132,22,100
2021-09-27,放量上涨,11,2,8
2021-09-27,突破平台,60,17,37
2021-09-27,均线多头,180,25,149
2021-09-27,无大幅回撤,8,1,7
2021-09-27,停机坪,19,4,15
2023-03-11,海龟交易法则,260,0,260
2023-03-11,放量上涨,17,0,17
2023-03-11,突破平台,257,0,257
2023-03-11,均线多头,83,0,83
2023-03-11,无大幅回撤,6,0,6
2023-03-11,停机坪,8,0,8
2023-03-05,海龟交易法则,662,0,662
2023-03-05,放量上涨,26,0,26
2023-03-05,突破平台,220,0,220
2023-03-05,均线多头,104,0,104
2023-03-05,无大幅回撤,8,0,8
2023-03-05,停机坪,12,0,12
2021-12-17,海龟交易法则,688,86,543
2021-12-17,放量上涨,3,0,3
2021-12-17,突破平台,66,15,47
2021-12-17,均线多头,208,30,169
2021-12-17,无大幅回撤,18,2,16
2021-12-17,停机坪,31,4,25
2023-03-04,海龟交易法则,662,0,662
2023-03-04,放量上涨,26,0,26
2023-03-04,突破平台,220,0,220
2023-03-04,均线多头,104,0,104
2023-03-04,无大幅回撤,8,0,8
2023-03-04,停机坪,12,0,12
2021-12-16,海龟交易法则,881,149,618
2021-12-16,放量上涨,9,1,7
2021-12-16,突破平台,66,13,49
2021-12-16,均线多头,201,34,157
2021-12-16,无大幅回撤,17,2,15
2021-12-16,停机坪,29,2,23
2023-03-10,海龟交易法则,260,65,168
2023-03-10,放量上涨,17,2,13
2023-03-10,突破平台,258,51,185
2023-03-10,均线多头,83,25,50
2023-03-10,无大幅回撤,6,3,3
2023-03-10,停机坪,8,1,6
2021-12-14,海龟交易法则,608,138,425
2021-12-14,放量上涨,2,0,2
2021-12-14,突破平台,63,12,49
2021-12-14,均线多头,194,35,146
2021-12-14,无大幅回撤,15,4,11
2021-12-14,停机坪,25,5,17
2023-03-06,海龟交易法则,753,78,601
2023-03-06,放量上涨,23,3,17
2023-03-06,突破平台,213,19,171
2023-03-06,均线多头,96,20,70
2023-03-06,无大幅回撤,4,0,4
2023-03-06,停机坪,9,1,7
2023-03-12,海龟交易法则,260,0,260
2023-03-12,放量上涨,17,0,17
2023-03-12,突破平台,257,0,257
2023-03-12,均线多头,83,0,83
2023-03-12,无大幅回撤,6,0,6
2023-03-12,停机坪,8,0,8
2023-03-13,海龟交易法则,263,50,187
2023-03-13,放量上涨,14,1,12
2023-03-13,突破平台,243,35,183
2023-03-13,均线多头,96,19,70
2023-03-13,无大幅回撤,6,3,3
2023-03-13,停机坪,8,1,7
2021-12-15,海龟交易法则,666,175,441
2021-12-15,放量上涨,4,1,3
2021-12-15,突破平台,63,11,49
2021-12-15,均线多头,194,31,152
2021-12-15,无大幅回撤,17,4,13
2021-12-15,停机坪,29,3,22
