 [2023-03-29 20:39:29,297] - [backtest_tmp.py] - [day:2021-09-15, 均线突破 在 7 天后, 总数:6, 成功数:0, 失败数:6, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:29,306] - [backtest_tmp.py] - [day:2021-09-15, 均线突破 在 8 天后, 总数:6, 成功数:0, 失败数:6, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:29,323] - [backtest_tmp.py] - [day:2021-09-15, 均线突破 在 9 天后, 总数:6, 成功数:0, 失败数:6, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:29,324] - [backtest_tmp.py] - [day:2021-09-15, 海龟均线突破 在 1 天后, 总数:4, 成功数:0, 失败数:4, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:29,324] - [backtest_tmp.py] - [day:2021-09-15, 海龟均线突破 在 2 天后, 总数:4, 成功数:0, 失败数:4, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:29,324] - [backtest_tmp.py] - [day:2021-09-15, 海龟均线突破 在 3 天后, 总数:4, 成功数:0, 失败数:4, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:29,324] - [backtest_tmp.py] - [day:2021-09-15, 海龟均线突破 在 4 天后, 总数:4, 成功数:0, 失败数:4, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:29,324] - [backtest_tmp.py] - [day:2021-09-15, 海龟均线突破 在 5 天后, 总数:4, 成功数:0, 失败数:4, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:29,324] - [backtest_tmp.py] - [day:2021-09-15, 海龟均线突破 在 6 天后, 总数:4, 成功数:0, 失败数:4, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:29,324] - [backtest_tmp.py] - [day:2021-09-15, 海龟均线突破 在 7 天后, 总数:4, 成功数:0, 失败数:4, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:29,324] - [backtest_tmp.py] - [day:2021-09-15, 海龟均线突破 在 8 天后, 总数:4, 成功数:0, 失败数:4, 成功率: 0.00%, 失败率 100.00%]
