 [2023-03-22 23:06:09,470] - [backtest_tmp.py] - [day:2021-11-15, 均线多头 在 5 天后, 总数:256, 成功数:61, 失败数:179, 成功率: 23.83%, 失败率 69.92%]
 [2023-03-22 23:06:09,494] - [backtest_tmp.py] - [day:2021-11-15, 无大幅回撤 在 5 天后, 总数:14, 成功数:4, 失败数:10, 成功率: 28.57%, 失败率 71.43%]
 [2023-03-22 23:06:09,571] - [backtest_tmp.py] - [day:2021-11-15, 停机坪 在 5 天后, 总数:28, 成功数:6, 失败数:19, 成功率: 21.43%, 失败率 67.86%]
 [2023-03-22 23:06:10,558] - [backtest_tmp.py] - [day:2021-11-01, 海龟交易法则 在 5 天后, 总数:497, 成功数:100, 失败数:350, 成功率: 20.12%, 失败率 70.42%]
 [2023-03-22 23:06:10,598] - [backtest_tmp.py] - [day:2021-11-01, 放量上涨 在 5 天后, 总数:17, 成功数:1, 失败数:15, 成功率: 5.88%, 失败率 88.24%]
 [2023-03-22 23:06:10,680] - [backtest_tmp.py] - [day:2021-11-01, 突破平台 在 5 天后, 总数:38, 成功数:8, 失败数:25, 成功率: 21.05%, 失败率 65.79%]
 [2023-03-22 23:06:11,067] - [backtest_tmp.py] - [day:2021-11-01, 均线多头 在 5 天后, 总数:189, 成功数:39, 失败数:134, 成功率: 20.63%, 失败率 70.90%]
 [2023-03-22 23:06:11,090] - [backtest_tmp.py] - [day:2021-11-01, 无大幅回撤 在 5 天后, 总数:10, 成功数:4, 失败数:6, 成功率: 40.00%, 失败率 60.00%]
 [2023-03-22 23:06:11,105] - [backtest_tmp.py] - [day:2021-11-01, 停机坪 在 5 天后, 总数:7, 成功数:1, 失败数:5, 成功率: 14.29%, 失败率 71.43%]
 [2023-03-22 23:06:13,252] - [backtest_tmp.py] - [day:2021-11-10, 海龟交易法则 在 5 天后, 总数:1121, 成功数:301, 失败数:690, 成功率: 26.85%, 失败率 61.55%]
 [2023-03-22 23:06:13,264] - [backtest_tmp.py] - [day:2021-11-10, 放量上涨 在 5 天后, 总数:6, 成功数:1, 失败数:4, 成功率: 16.67%, 失败率 66.67%]
 [2023-03-22 23:06:13,352] - [backtest_tmp.py] - [day:2021-11-10, 突破平台 在 5 天后, 总数:34, 成功数:9, 失败数:20, 成功率: 26.47%, 失败率 58.82%]
 [2023-03-22 23:06:13,807] - [backtest_tmp.py] - [day:2021-11-10, 均线多头 在 5 天后, 总数:210, 成功数:61, 失败数:136, 成功率: 29.05%, 失败率 64.76%]
 [2023-03-22 23:06:13,826] - [backtest_tmp.py] - [day:2021-11-10, 无大幅回撤 在 5 天后, 总数:11, 成功数:3, 失败数:8, 成功率: 27.27%, 失败率 72.73%]
 [2023-03-22 23:06:13,894] - [backtest_tmp.py] - [day:2021-11-10, 停机坪 在 5 天后, 总数:26, 成功数:9, 失败数:14, 成功率: 34.62%, 失败率 53.85%]
 [2023-03-22 23:06:15,308] - [backtest_tmp.py] - [day:2021-11-04, 海龟交易法则 在 5 天后, 总数:692, 成功数:144, 失败数:490, 成功率: 20.81%, 失败率 70.81%]
 [2023-03-22 23:06:15,309] - [backtest_tmp.py] - [day:2021-11-04, 放量上涨 在 5 天后, 总数:2, 成功数:0, 失败数:2, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:15,400] - [backtest_tmp.py] - [day:2021-11-04, 突破平台 在 5 天后, 总数:37, 成功数:8, 失败数:25, 成功率: 21.62%, 失败率 67.57%]
 [2023-03-22 23:06:15,753] - [backtest_tmp.py] - [day:2021-11-04, 均线多头 在 5 天后, 总数:176, 成功数:28, 失败数:140, 成功率: 15.91%, 失败率 79.55%]
 [2023-03-22 23:06:15,776] - [backtest_tmp.py] - [day:2021-11-04, 无大幅回撤 在 5 天后, 总数:11, 成功数:2, 失败数:8, 成功率: 18.18%, 失败率 72.73%]
 [2023-03-22 23:06:15,825] - [backtest_tmp.py] - [day:2021-11-04, 停机坪 在 5 天后, 总数:20, 成功数:3, 失败数:15, 成功率: 15.00%, 失败率 75.00%]
 [2023-03-22 23:06:16,742] - [backtest_tmp.py] - [day:2021-11-05, 海龟交易法则 在 5 天后, 总数:487, 成功数:142, 失败数:312, 成功率: 29.16%, 失败率 64.07%]
 [2023-03-22 23:06:16,746] - [backtest_tmp.py] - [day:2021-11-05, 放量上涨 在 5 天后, 总数:6, 成功数:0, 失败数:6, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:16,820] - [backtest_tmp.py] - [day:2021-11-05, 突破平台 在 5 天后, 总数:33, 成功数:7, 失败数:21, 成功率: 21.21%, 失败率 63.64%]
 [2023-03-22 23:06:17,191] - [backtest_tmp.py] - [day:2021-11-05, 均线多头 在 5 天后, 总数:182, 成功数:50, 失败数:122, 成功率: 27.47%, 失败率 67.03%]
 [2023-03-22 23:06:17,207] - [backtest_tmp.py] - [day:2021-11-05, 无大幅回撤 在 5 天后, 总数:10, 成功数:3, 失败数:7, 成功率: 30.00%, 失败率 70.00%]
 [2023-03-22 23:06:17,259] - [backtest_tmp.py] - [day:2021-11-05, 停机坪 在 5 天后, 总数:22, 成功数:4, 失败数:15, 成功率: 18.18%, 失败率 68.18%]
 [2023-03-22 23:06:19,722] - [backtest_tmp.py] - [day:2021-11-11, 海龟交易法则 在 5 天后, 总数:1235, 成功数:203, 失败数:883, 成功率: 16.44%, 失败率 71.50%]
 [2023-03-22 23:06:19,793] - [backtest_tmp.py] - [day:2021-11-11, 放量上涨 在 5 天后, 总数:29, 成功数:0, 失败数:28, 成功率: 0.00%, 失败率 96.55%]
 [2023-03-22 23:06:19,895] - [backtest_tmp.py] - [day:2021-11-11, 突破平台 在 5 天后, 总数:43, 成功数:3, 失败数:34, 成功率: 6.98%, 失败率 79.07%]
 [2023-03-22 23:06:20,344] - [backtest_tmp.py] - [day:2021-11-11, 均线多头 在 5 天后, 总数:209, 成功数:50, 失败数:148, 成功率: 23.92%, 失败率 70.81%]
 [2023-03-22 23:06:20,368] - [backtest_tmp.py] - [day:2021-11-11, 无大幅回撤 在 5 天后, 总数:13, 成功数:4, 失败数:9, 成功率: 30.77%, 失败率 69.23%]
