
******************************"海龟交易法则-开始"******************************
('002417', '*ST深南', 73115.46168)
('002402', '和而泰', 1387582.33003)
('002322', '理工能科', 405989.397912)
('002313', '*ST日海', 234387.976548)
('002279', '久其软件', 743932.573648)
('002256', '兆新股份', 407640.693424)
('002235', '安妮股份', 502185.047116)
('002231', '奥维通信', 271231.88564)
('002219', '新里程', 1848430.8384)
('002201', '正威新材', 871337.59558)
('002177', '*ST御银', 239014.066316)
('002148', '北纬科技', 296994.525338)
('002115', '三维通信', 448868.78239)
('002113', 'ST天润', 150390.841678)
('002112', '三变科技', 363113.484205)
('002089', '*ST新海', 152109.956972)
('002086', 'ST东洋', 204675.003325)
('002062', '宏润建设', 576810.61818)
('002052', '*ST同洲', 152175.777576)
('002039', '黔源电力', 668265.967326)
('002021', 'ST中捷', 138246.30054)
('002005', 'ST德豪', 271625.85299)
('001330', '博纳影业', 284525.429895)
('001309', '德明利', 136500.0)
('001269', '欧晶科技', 446976.85507)
('001236', '弘业期货', 183617.111516)
('001215', '千味央厨', 351052.649143)
('001212', '中旗新材', 196460.992)
('000911', '南宁糖业', 288756.114867)
('000909', '数源科技', 387423.864)
('000889', 'ST中嘉', 178319.18358)
('000815', '美利云', 1077657.70425)
('000810', '创维数字', 1848278.52574)
('000806', '*ST银河', 146404.420932)
('000800', '一汽解放', 1245014.5295)
('000785', '居然之家', 1246182.181932)
('000779', '甘咨询', 487349.750304)
('000761', '本钢板材', 1431369.915762)
('000732', 'ST泰禾', 328110.429372)
('000606', '*ST顺利', 163115.262189)
('000547', '航天发展', 1891573.659798)
('000537', '广宇发展', 2406376.77024)
('000524', '岭南控股', 822860.230588)
('000519', '中兵红箭', 3544151.982354)
('000429', '粤高速Ａ', 1045184.630262)
('000408', '藏格矿业', 4426752.422973)
('000150', '*ST宜康', 98330.809524)
('000038', '*ST大通', 105250.91052)
('000032', '深桑达Ａ', 1883999.855742)
('000028', '国药一致', 1606991.025)
('000005', 'ST星源', 192546.216044)
('900937', '*ST华电B', 6393.6000296)
('603603', '*ST博天', 438202.899528)
('603039', 'ST泛微', 1636587.29844)
('603007', 'ST花王', 153702.372346)
('600804', 'ST鹏博士', 513880.454871)
('600781', '*ST辅仁', 52396.85108)
('600726', '*ST华源', 402084.889562)
('600666', '*ST瑞德', 776740.692135)
('600306', 'ST商城', 160790.126676)
('600289', 'ST信通', 158458.35152)
('600242', '*ST中昌', 71304.53811)
('600145', '退市新亿', 50697.41292)
('600122', 'ST宏图', 178371.7859)
('600087', '退市长油', 0.0)
('600069', '退市银鸽', 248558.58712)
******************************"海龟交易法则-结束"******************************
******************************"放量上涨-开始"******************************
('603387', '基蛋生物', 719143.687106)
('601595', '上海电影', 510948.0)
('601199', '江南水务', 743492.18214)
('300768', '迪普科技', 734557.38721)
('300101', '振芯科技', 1803617.970555)
('002913', '奥士康', 839111.08086)
('002201', '正威新材', 871337.59558)
******************************"放量上涨-结束"******************************
股票('605168', '三人行', 523549.7316) 突破日期：2023-03-01
股票('605117', '德业股份', 2676785.51) 突破日期：2023-03-06
股票('603960', '克来机电', 548177.842345) 突破日期：2023-03-02
股票('603920', '世运电路', 895118.94711) 突破日期：2023-03-01
股票('603896', '寿仙谷', 974776.144221) 突破日期：2023-02-17
股票('603733', '仙鹤股份', 2011322.786396) 突破日期：2023-02-22
股票('603730', '岱美股份', 1692307.062129) 突破日期：2023-02-23
股票('603690', '至纯科技', 1186675.593192) 突破日期：2023-03-06
股票('603676', '卫信康', 644082.102) 突破日期：2023-02-22
股票('603662', '柯力传感', 515322.80778) 突破日期：2023-02-28
股票('603639', '海利尔', 877979.027584) 突破日期：2023-02-20
股票('603636', '南威软件', 955904.009204) 突破日期：2023-03-01
股票('603555', '贵人鸟', 548455.369942) 突破日期：2023-02-27
股票('603530', '神马电力', 709344.119607) 突破日期：2023-03-07
股票('603520', '司太立', 693249.350024) 突破日期：2023-02-22
股票('603387', '基蛋生物', 719143.687106) 突破日期：2023-03-08
股票('603367', '辰欣药业', 641637.6) 突破日期：2023-02-28
股票('603297', '永新光学', 1026675.252) 突破日期：2023-02-23
股票('603277', '银都股份', 873343.227) 突破日期：2023-02-27
股票('603256', '宏和科技', 703117.8) 突破日期：2023-02-28
股票('603227', '雪峰科技', 580973.4) 突破日期：2023-02-24
股票('603136', '天目湖', 588503.639997) 突破日期：2023-02-27
股票('603108', '润达医疗', 774269.537512) 突破日期：2023-03-06
股票('603093', '南华期货', 706456.304094) 突破日期：2023-02-23
股票('603078', '江化微', 559461.552948) 突破日期：2023-03-03
股票('603031', '安孚科技', 557760.0) 突破日期：2023-02-27
股票('601929', '吉视传媒', 713077.466688) 突破日期：2023-03-01
股票('601908', '京运通', 1627442.328314) 突破日期：2023-03-06
股票('601789', '宁波建工', 573829.65552) 突破日期：2023-03-02
股票('601718', '际华集团', 1400929.779876) 突破日期：2023-02-17
股票('601666', '平煤股份', 2647557.52407) 突破日期：2023-02-17
股票('601619', '嘉泽新能', 1088873.024785) 突破日期：2023-03-01
股票('601606', '长城军工', 1005229.0192) 突破日期：2023-02-17
股票('601566', '九牧王', 682094.29705) 突破日期：2023-02-17
股票('601456', '国联证券', 1072048.156376) 突破日期：2023-03-01
股票('601388', '怡球资源', 709298.983926) 突破日期：2023-02-20
股票('601311', '骆驼股份', 1079294.42856) 突破日期：2023-03-07
股票('601116', '三江购物', 566299.4656) 突破日期：2023-03-06
股票('601068', '中铝国际', 1346344.690842) 突破日期：2023-02-20
股票('601015', '陕西黑猫', 1031461.307695) 突破日期：2023-02-17
股票('600984', '建设机械', 788051.641565) 突破日期：2023-02-20
股票('600959', '江苏有线', 1605230.377206) 突破日期：2023-03-01
股票('600916', '中国黄金', 999734.4) 突破日期：2023-03-06
股票('600869', '远东股份', 1336050.353092) 突破日期：2023-02-27
股票('600868', '梅雁吉祥', 544768.670873) 突破日期：2023-02-28
股票('600812', '华北制药', 1020883.760354) 突破日期：2023-02-17
股票('600777', '新潮能源', 1604270.402532) 突破日期：2023-03-07
股票('600776', '东方通信', 1049688.070272) 突破日期：2023-02-28
股票('600771', '广誉远', 1793006.049483) 突破日期：2023-02-28
股票('600770', '综艺股份', 911300.0) 突破日期：2023-03-03
股票('600729', '重庆百货', 1043465.419605) 突破日期：2023-02-20
股票('600728', '佳都科技', 1071931.016289) 突破日期：2023-03-01
股票('600718', '东软集团', 1334907.146012) 突破日期：2023-02-24
股票('600711', '盛屯矿业', 1894736.70896) 突破日期：2023-02-21
股票('600691', '阳煤化工', 845708.598912) 突破日期：2023-02-17
股票('600685', '中船防务', 2105338.368903) 突破日期：2023-02-24
股票('600654', '*ST中安', 577351.606986) 突破日期：2023-03-03
股票('600642', '申能股份', 2948152.601316) 突破日期：2023-03-02
股票('600641', '万业企业', 1768196.848) 突破日期：2023-03-01
股票('600604', '市北高新', 734691.407688) 突破日期：2023-02-20
股票('600596', '新安股份', 1654031.32978) 突破日期：2023-02-21
股票('600550', '保变电气', 974168.56592) 突破日期：2023-02-27
股票('600499', '科达制造', 2521296.78108) 突破日期：2023-02-27
股票('600490', '鹏欣资源', 631660.979362) 突破日期：2023-02-21
股票('600481', '双良节能', 2527263.350101) 突破日期：2023-03-03
股票('600480', '凌云股份', 717502.933147) 突破日期：2023-02-21
股票('600419', '天润乳业', 517959.742222) 突破日期：2023-03-03
股票('600418', '江淮汽车', 2838074.863383) 突破日期：2023-02-21
股票('600415', '小商品城', 2815496.092416) 突破日期：2023-02-20
股票('600390', '五矿资本', 2424457.282401) 突破日期：2023-02-21
股票('600373', '中文传媒', 1459403.625363) 突破日期：2023-03-01
股票('600338', '西藏珠峰', 2387002.748648) 突破日期：2023-02-23
股票('600335', '国机汽车', 1319929.068006) 突破日期：2023-03-03
股票('600331', '宏达股份', 707136.0) 突破日期：2023-02-20
股票('600328', '中盐化工', 895938.20362) 突破日期：2023-03-02
股票('600288', '大恒科技', 597542.4) 突破日期：2023-03-01
股票('600259', '广晟有色', 1415817.425671) 突破日期：2023-02-20
股票('600217', '中再资环', 691552.571436) 突破日期：2023-02-16
股票('600211', '西藏药业', 1353492.684937) 突破日期：2023-02-21
股票('600206', '有研新材', 1171629.811488) 突破日期：2023-03-01
股票('600195', '中牧股份', 1514362.86958) 突破日期：2023-02-24
股票('600171', '上海贝岭', 1376896.608635) 突破日期：2023-03-01
股票('600163', '中闽能源', 642867.863595) 突破日期：2023-03-03
股票('600131', '国网信通', 1968180.62112) 突破日期：2023-03-01
股票('600095', '湘财股份', 1109805.854496) 突破日期：2023-02-16
股票('600084', '中葡股份', 827062.94688) 突破日期：2023-02-21
股票('600062', '华润双鹤', 1807126.46604) 突破日期：2023-02-17
股票('600056', '中国医药', 2304336.627598) 突破日期：2023-02-16
股票('600053', '九鼎投资', 682393.2192) 突破日期：2023-02-20
股票('600037', '歌华有线', 1284610.986932) 突破日期：2023-03-01
股票('300821', '东岳硅材', 516663.0) 突破日期：2023-02-21
股票('300793', '佳禾智能', 552524.335625) 突破日期：2023-03-01
股票('300775', '三角防务', 1809504.11976) 突破日期：2023-02-21
股票('300737', '科顺股份', 1133550.370084) 突破日期：2023-02-20
股票('300725', '药石科技', 1251436.504952) 突破日期：2023-03-03
股票('300723', '一品红', 599360.16024) 突破日期：2023-02-17
股票('300676', '华大基因', 2346789.962275) 突破日期：2023-03-03
股票('300671', '富满微', 1006964.29024) 突破日期：2023-02-23
股票('300663', '科蓝软件', 583060.835349) 突破日期：2023-03-01
股票('300657', '弘信电子', 543512.027376) 突破日期：2023-02-23
股票('300655', '晶瑞电材', 910831.257385) 突破日期：2023-03-01
股票('300653', '正海生物', 852840.0) 突破日期：2023-03-06
股票('300627', '华测导航', 1381235.518074) 突破日期：2023-03-01
股票('300618', '寒锐钴业', 1176597.302296) 突破日期：2023-02-21
股票('300579', '数字认证', 784827.204183) 突破日期：2023-02-28
股票('300548', '博创科技', 508278.31648) 突破日期：2023-02-24
股票('300523', '辰安科技', 538546.511882) 突破日期：2023-03-01
股票('300463', '迈克生物', 942155.287266) 突破日期：2023-02-28
股票('300455', '康拓红外', 681694.783432) 突破日期：2023-02-22
股票('300451', '创业慧康', 1258254.576756) 突破日期：2023-02-21
股票('300435', '中泰股份', 538572.723381) 突破日期：2023-02-27
股票('300432', '富临精工', 1768440.067056) 突破日期：2023-02-23
股票('300416', '苏试试验', 1128619.11228) 突破日期：2023-03-06
股票('300395', '菲利华', 2449114.907452) 突破日期：2023-02-24
股票('300376', '易事特', 1773386.585082) 突破日期：2023-03-01
股票('300369', '绿盟科技', 893973.578784) 突破日期：2023-03-01
股票('300366', '创意信息', 628995.416823) 突破日期：2023-02-22
股票('300296', '利亚德', 1338332.155538) 突破日期：2023-03-01
股票('300287', '飞利信', 514987.826118) 突破日期：2023-03-01
股票('300278', '华昌达', 572353.605142) 突破日期：2023-03-02
股票('300212', '易华录', 1731874.514973) 突破日期：2023-03-01
股票('300204', '舒泰神', 540257.96838) 突破日期：2023-02-17
股票('300199', '翰宇药业', 835206.401502) 突破日期：2023-02-17
股票('300182', '捷成股份', 1154475.215852) 突破日期：2023-03-01
股票('300168', '万达信息', 1157186.325756) 突破日期：2023-03-01
股票('300129', '泰胜风能', 541468.337) 突破日期：2023-02-20
股票('300123', '亚光科技', 785146.009185) 突破日期：2023-03-02
股票('300102', '乾照光电', 651756.491703) 突破日期：2023-02-27
股票('300098', '高新兴', 541477.322184) 突破日期：2023-03-01
股票('300083', '创世纪', 1168049.457471) 突破日期：2023-03-02
