
******************************"海龟交易法则-开始"******************************
('300314', '戴维医疗', 342352.118784)
('300307', '慈星股份', 470004.913623)
('300253', '卫宁健康', 1941016.85505)
('300235', '方直科技', 204909.238212)
('300223', '北京君正', 3172675.05191)
('300201', '*ST海伦', 389182.841625)
('300194', '福安药业', 385483.300041)
('300182', '捷成股份', 1226904.269318)
('300181', '佐力药业', 733739.577044)
('300088', '长信科技', 1626831.252288)
('300087', '荃银高科', 1094907.283761)
('300065', '海兰信', 904711.008618)
('300058', '蓝色光标', 1845964.666048)
('300045', '华力创通', 457293.270688)
('300031', '宝通科技', 627588.858474)
('300026', '红日药业', 1768250.980135)
('300022', '吉峰科技', 161390.191524)
('300009', '安科生物', 1337135.596321)
('003029', '吉大正元', 440470.512762)
('003020', '立方制药', 229888.828185)
('002999', '天禾股份', 207971.687)
('002988', '豪美新材', 143979.24607)
('002983', '芯瑞达', 116298.528984)
('002941', '新疆交建', 976631.567324)
('002912', '中新赛克', 728863.495423)
('002908', '德生科技', 376442.38368)
('002878', '元隆雅图', 367814.572512)
('002873', '新天药业', 345429.46809)
('002864', '盘龙药业', 204044.92394)
('002813', '路畅科技', 389143.138248)
('002787', '华源控股', 184551.064632)
('002777', '久远银海', 875940.470187)
('002773', '康弘药业', 1308797.040755)
('002740', 'ST爱迪尔', 179403.30037)
('002737', '葵花药业', 1523656.0)
('002731', '萃华珠宝', 362658.94504)
('002727', '一心堂', 1431310.41172)
('002721', '金一文化', 369571.462645)
('002644', '佛慈制药', 583170.294)
('002636', '金安国纪', 640672.998692)
('002603', '以岭药业', 4121090.933525)
('002524', '光正眼科', 358443.58528)
('002468', '申通快递', 1559187.711565)
('002443', '金洲管道', 358728.533713)
('002439', '启明星辰', 2466624.68508)
('002436', '兴森科技', 1747870.87309)
('002429', '兆驰股份', 2041320.84014)
('002422', '科伦药业', 3289700.446344)
('002399', '海普瑞', 1716149.544704)
('002367', '康力电梯', 430339.56536)
('002358', 'ST森源', 496013.899854)
('002345', '潮宏基', 635251.09518)
('002294', '信立泰', 4066818.279668)
('002287', '奇正藏药', 1409497.809432)
('002282', '博深股份', 351181.890257)
('002275', '桂林三金', 846035.212048)
('002255', '海陆重工', 344974.901931)
('002237', '恒邦股份', 1067896.231137)
('002185', '华天科技', 3251703.98875)
('002115', '三维通信', 503676.56262)
('002107', '沃华医药', 375533.887774)
('002044', '美年健康', 2686641.380308)
('002035', '华帝股份', 512580.389076)
('002022', '*ST 科华', 695127.50112)
('002021', 'ST中捷', 140997.4707)
('001337', '四川黄金', 144540.0)
('001317', '三羊马', 128585.2425)
('001288', '运机集团', 88638.23545)
('001255', '博菲电气', 104620.0)
('000999', '华润三九', 5839063.198144)
('000989', '九 芝 堂', 782350.767517)
('000950', '重药控股', 1014444.416552)
('000715', '中兴商业', 290126.586306)
('000713', '丰乐种业', 599892.63546)
('000670', '盈方微', 575085.826616)
('000651', '格力电器', 20841336.02896)
('000590', '启迪药业', 221662.386202)
('000553', '安道麦A', 2203192.270532)
('000543', '皖能电力', 1099428.715535)
('000539', '粤电力Ａ', 1726444.984524)
('000506', '中润资源', 468978.835305)
('000503', '国新健康', 944617.708532)
('000423', '东阿阿胶', 3205359.552837)
('000065', '北方国际', 1426730.464928)
('000062', '深圳华强', 1331798.094375)
('000032', '深桑达Ａ', 2255383.810878)
('000028', '国药一致', 1710323.8575)
('000025', '特 力Ａ', 791055.53648)
('900937', '*ST华电B', 6264.000029)
('603007', 'ST花王', 195712.131382)
('600726', '*ST华源', 412827.615619)
('600671', 'ST目药', 116364.829548)
('600589', 'ST榕泰', 176712.353531)
('600303', 'ST曙光', 385094.40027)
('600226', 'ST瀚叶', 875361.439746)
('600217', '中再资环', 731823.705114)
('600145', '退市新亿', 50697.41292)
('600136', 'ST明诚', 175699.120332)
('600087', '退市长油', 0.0)
('600069', '退市银鸽', 25586.91338)
******************************"海龟交易法则-结束"******************************
******************************"放量上涨-开始"******************************
('603368', '柳药集团', 901585.7409)
('601038', '一拖股份', 744169.23)
('600750', '江中药业', 1185029.9202)
('600511', '国药股份', 1989833.740704)
('600475', '华光环能', 1191167.33395)
('600375', '汉马科技', 530649.338484)
('600171', '上海贝岭', 1518026.75567)
('600120', '浙江东方', 1325168.018896)
('300026', '红日药业', 1768250.980135)
('002287', '奇正藏药', 1409497.809432)
('000950', '重药控股', 1014444.416552)
('000816', '智慧农业', 519781.94422)
('000722', '湖南发展', 606190.716292)
