
******************************"海龟交易法则-开始"******************************
('300688', '创业黑马', 293586.069875)
('300673', '佩蒂股份', 328272.20593)
('300622', '博士眼镜', 255220.99134)
('300593', '新雷能', 1140344.62916)
('300591', '万里马', 178026.688856)
('300561', '汇金科技', 203475.104379)
('300546', '雄帝科技', 260825.89467)
('300527', '中船应急', 768662.130096)
('300469', '信息发展', 288178.172924)
('300459', '汤姆猫', 1503392.387208)
('300448', '浩云科技', 281769.97393)
('300445', '康斯特', 199297.065086)
('300430', '诚益通', 409047.165285)
('300424', '航新科技', 340633.4193)
('300397', '天和防务', 499147.778178)
('300354', '东华测试', 391636.062519)
('300344', '立方数科', 381609.200427)
('300309', '*ST吉艾', 103002.256314)
('300246', '宝莱特', 226219.404192)
('300145', '中金环境', 530207.21236)
('300111', '向日葵', 491592.2)
('300101', '振芯科技', 1701261.104125)
('300099', '精准信息', 369913.596908)
('300034', '钢研高纳', 2022653.247264)
('300032', '金龙机电', 459412.157776)
('300008', '天海防务', 717016.205571)
('003041', '真爱美家', 76858.353)
('003030', '祖名股份', 135823.05325)
('003020', '立方制药', 206487.885285)
('003009', '中天火箭', 221295.689676)
('002992', '宝明科技', 384413.360175)
('002984', '森麒麟', 969442.14413)
('002947', '恒铭达', 372875.050605)
('002935', '天奥电子', 766826.502708)
('002929', '润建股份', 764088.990998)
('002891', '中宠股份', 761139.788124)
('002872', 'ST天圣', 115800.206676)
('002866', '传艺科技', 746028.778311)
('002865', '钧达股份', 2466655.269415)
('002857', '三晖电气', 205952.0)
('002847', '盐津铺子', 1403579.08792)
('002819', '东方中科', 650385.771295)
('002818', '富森美', 398308.47201)
('002797', '第一创业', 2504234.4)
('002790', '瑞尔特', 295492.218498)
('002787', '华源控股', 188303.897286)
('002751', '*ST易尚', 98518.341933)
('002746', '仙坛股份', 665676.300926)
('002701', '奥瑞金', 1359989.715283)
('002644', '佛慈制药', 563765.328)
('002637', '赞宇科技', 526546.761125)
('002633', '申科股份', 173475.16875)
('002590', '万安科技', 492909.037398)
('002563', '森马服饰', 1109075.30246)
('002535', 'ST林重', 182114.724407)
('002433', 'ST太安', 330507.2175)
('002429', '兆驰股份', 2072794.95001)
('002419', '天虹股份', 752514.250516)
('002379', '宏创控股', 415952.412844)
('002361', '神剑股份', 365101.444656)
('002311', '海大集团', 10570699.078752)
('002299', '圣农发展', 3052484.537932)
('002297', '博云新材', 492297.039521)
('002286', '保龄宝', 354606.82152)
('002246', '北化股份', 630291.943512)
('002234', '民和股份', 573789.400971)
('002223', '鱼跃医疗', 2947532.612094)
('002203', '海亮股份', 2411919.529382)
('002156', '通富微电', 3092282.323676)
('002151', '北斗星通', 1309643.199702)
('002112', '三变科技', 321762.482445)
('002111', '威海广泰', 536739.251574)
('002078', '太阳纸业', 3509515.360052)
('002047', '宝鹰股份', 555605.481184)
('002029', '七 匹 狼', 418300.142104)
('002025', '航天电器', 2931237.778356)
('002022', '*ST 科华', 677646.48408)
('002021', 'ST中捷', 129992.79006)
('002020', '京新药业', 911084.265984)
('002016', '世荣兆业', 499336.774464)
('001336', '楚环科技', 63133.777)
('001332', '锡装股份', 145380.0)
('001313', '粤海饲料', 215256.804987)
('001269', '欧晶科技', 390254.427113)
('001268', '联合精密', 69832.868392)
('001266', '宏英智能', 83897.856)
